                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.59058,                0.73116,                0.98943,                0.98924,                      1,                  0.995,                 0.9064,                0.50024,                0.80916,                0.95936,             0.00043716,             0.00043716,             0.00043716
                     51,                0.55726,                0.69642,                0.98146,                0.99109,                      1,                  0.995,                0.89848,                0.51692,                0.81493,                0.96395,             0.00042891,             0.00042891,             0.00042891
                     52,                0.56103,                0.69405,                 0.9843,                0.99068,                      1,                  0.995,                0.90999,                0.50813,                0.83377,                0.95793,             0.00042066,             0.00042066,             0.00042066
                     53,                0.52296,                0.68286,                0.95676,                0.98609,                      1,                  0.995,                0.91022,                 0.5107,                0.85252,                0.95693,             0.00041242,             0.00041242,             0.00041242
                     54,                0.61273,                0.73321,                0.98303,                0.99041,                      1,                  0.995,                0.90217,                0.52826,                0.85683,                0.96964,             0.00040417,             0.00040417,             0.00040417
                     55,                0.52574,                0.72044,                0.95052,                0.99266,                      1,                  0.995,                0.90248,                0.51688,                0.80875,                0.95795,             0.00039592,             0.00039592,             0.00039592
                     56,                0.56021,                0.69124,                 1.0052,                0.99058,                      1,                  0.995,                0.89894,                0.53764,                0.79701,                0.96141,             0.00038768,             0.00038768,             0.00038768
                     57,                0.56886,                0.65921,                0.97885,                0.98428,                      1,                  0.995,                0.90664,                0.51184,                0.77995,                0.94996,             0.00037943,             0.00037943,             0.00037943
                     58,                0.53926,                0.66855,                0.99459,                0.98611,                      1,                  0.995,                0.90971,                0.51397,                0.78478,                 0.9811,             0.00037118,             0.00037118,             0.00037118
                     59,                0.55568,                0.68592,                 0.9869,                0.98898,                      1,                  0.995,                0.90847,                0.50613,                0.80509,                0.96091,             0.00036294,             0.00036294,             0.00036294
                     60,                0.51197,                0.60953,                0.95093,                0.98975,                      1,                  0.995,                0.91067,                0.46381,                0.80941,                0.92128,             0.00035469,             0.00035469,             0.00035469
                     61,                0.49435,                0.62109,                0.97113,                0.99078,                      1,                  0.995,                 0.9066,                0.46761,                 0.7992,                0.92371,             0.00034644,             0.00034644,             0.00034644
                     62,                0.52177,                0.59151,                0.96436,                0.99254,                      1,                  0.995,                0.90675,                0.47634,                0.75841,                0.93852,              0.0003382,              0.0003382,              0.0003382
                     63,                0.49985,                0.60232,                0.97836,                0.99159,                      1,                  0.995,                0.91681,                0.44933,                0.75157,                0.92825,             0.00032995,             0.00032995,             0.00032995
                     64,                0.53652,                0.65015,                0.98024,                0.99141,                      1,                  0.995,                0.90301,                0.47438,                0.75144,                0.93331,              0.0003217,              0.0003217,              0.0003217
                     65,                0.50975,                0.60312,                0.95364,                0.99032,                      1,                  0.995,                0.89973,                0.47705,                0.75065,                0.93465,             0.00031346,             0.00031346,             0.00031346
                     66,                0.49917,                0.59032,                0.93788,                0.99088,                      1,                  0.995,                0.91236,                0.45522,                0.74069,                0.92706,             0.00030521,             0.00030521,             0.00030521
                     67,                0.48319,                0.58499,                0.94829,                0.98791,                      1,                  0.995,                0.92394,                0.45324,                 0.7193,                0.92999,             0.00029696,             0.00029696,             0.00029696
                     68,                0.51665,                0.76709,                0.95959,                0.99189,                      1,                  0.995,                0.92478,                0.44934,                0.71392,                0.92936,             0.00028872,             0.00028872,             0.00028872
                     69,                0.52819,                0.56856,                0.93558,                 0.9935,                      1,                  0.995,                0.92359,                0.45025,                0.72158,                0.92666,             0.00028047,             0.00028047,             0.00028047
                     70,                0.47836,                0.57606,                0.94312,                0.98949,                      1,                  0.995,                0.92555,                0.44555,                  0.736,                0.92375,             0.00027222,             0.00027222,             0.00027222
                     71,                0.52991,                0.64234,                0.95484,                0.99073,                      1,                  0.995,                0.92065,                0.44436,                0.72802,                0.92321,             0.00026398,             0.00026398,             0.00026398
                     72,                0.53149,                0.64675,                0.97997,                0.98958,                0.99739,                  0.995,                0.91877,                0.45324,                0.70547,                0.92841,             0.00025573,             0.00025573,             0.00025573
                     73,                0.54161,                0.58885,                0.97552,                0.99014,                0.99752,                  0.995,                0.91912,                0.45558,                0.70553,                0.93369,             0.00024748,             0.00024748,             0.00024748
                     74,                0.50173,                0.57446,                0.95084,                0.99274,                0.99964,                  0.995,                0.92509,                0.47147,                 0.7212,                 0.9546,             0.00023924,             0.00023924,             0.00023924
                     75,                0.47752,                0.55597,                0.96162,                0.99305,                      1,                  0.995,                0.92858,                0.43849,                 0.6896,                0.91447,             0.00023099,             0.00023099,             0.00023099
                     76,                0.48597,                0.54833,                0.94062,                 0.9938,                      1,                  0.995,                 0.9282,                0.42581,                0.65899,                0.90679,             0.00022274,             0.00022274,             0.00022274
                     77,                0.51096,                0.57732,                0.98527,                  0.994,                      1,                  0.995,                0.92729,                0.42138,                0.65022,                0.90368,              0.0002145,              0.0002145,              0.0002145
                     78,                0.48553,                0.55286,                0.93817,                0.99267,                      1,                  0.995,                0.92772,                0.41712,                0.65053,                0.90066,             0.00020625,             0.00020625,             0.00020625
                     79,                0.47401,                0.56174,                0.93979,                  0.991,                      1,                  0.995,                0.93526,                0.40327,                0.65531,                0.89659,               0.000198,               0.000198,               0.000198
                     80,                0.45088,                0.54495,                0.93224,                0.99308,                      1,                  0.995,                0.92647,                0.41166,                0.64877,                0.90348,             0.00018976,             0.00018976,             0.00018976
                     81,                0.46359,                0.55377,                0.93147,                0.99429,                      1,                  0.995,                 0.9286,                0.42307,                0.64652,                0.90943,             0.00018151,             0.00018151,             0.00018151
                     82,                0.48189,                0.53177,                0.94698,                0.99376,                      1,                  0.995,                0.92471,                0.42955,                0.63447,                 0.9092,             0.00017326,             0.00017326,             0.00017326
                     83,                0.46921,                 0.5315,                0.93294,                0.99299,                      1,                  0.995,                0.93025,                0.41416,                0.63653,                0.89799,             0.00016502,             0.00016502,             0.00016502
                     84,                0.46868,                0.56094,                0.94986,                0.99202,                      1,                  0.995,                0.93064,                0.40814,                 0.6376,                0.89368,             0.00015677,             0.00015677,             0.00015677
                     85,                0.50075,                 0.5684,                0.96755,                0.99212,                      1,                  0.995,                0.93204,                0.40851,                0.63876,                 0.8929,             0.00014852,             0.00014852,             0.00014852
                     86,                0.47421,                0.53702,                0.94034,                0.99132,                      1,                  0.995,                0.92825,                0.40892,                0.62587,                0.89483,             0.00014028,             0.00014028,             0.00014028
                     87,                0.49084,                0.52377,                0.95996,                0.99298,                      1,                  0.995,                0.92529,                0.41785,                0.61591,                0.90465,             0.00013203,             0.00013203,             0.00013203
                     88,                0.49535,                0.55128,                0.96744,                0.99316,                      1,                  0.995,                0.92754,                0.41739,                 0.6218,                0.90852,             0.00012378,             0.00012378,             0.00012378
                     89,                0.47772,                0.54308,                0.95222,                0.99304,                      1,                  0.995,                 0.9308,                0.41039,                0.62171,                0.90547,             0.00011554,             0.00011554,             0.00011554
                     90,                 0.4713,                0.63953,                0.93601,                0.99368,                      1,                  0.995,                0.93254,                0.40101,                0.61511,                0.89962,             0.00010729,             0.00010729,             0.00010729
                     91,                0.42078,                 0.7275,                0.91452,                0.99377,                      1,                  0.995,                 0.9262,                0.40271,                0.62304,                 0.8952,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     92,                0.42339,                0.72775,                0.92418,                0.99248,                      1,                  0.995,                 0.9254,                0.40337,                 0.6686,                0.89056,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     93,                0.40916,                0.75824,                0.88258,                0.99173,                      1,                  0.995,                0.92646,                0.40336,                0.69456,                0.88887,              8.255e-05,              8.255e-05,              8.255e-05
                     94,                0.39181,                0.81611,                0.90935,                0.99077,                      1,                  0.995,                0.92718,                 0.4001,                0.71177,                0.88757,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     95,                0.37576,                0.75907,                0.87289,                0.99263,                      1,                  0.995,                0.92738,                0.39859,                0.67256,                0.88497,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     96,                0.38882,                0.72409,                0.86686,                0.99279,                      1,                  0.995,                0.93152,                0.39599,                0.62093,                0.88244,              5.781e-05,              5.781e-05,              5.781e-05
                     97,                0.41439,                0.70054,                0.89721,                0.99268,                      1,                  0.995,                0.93259,                0.39433,                0.60361,                0.88143,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     98,                0.41088,                0.66013,                0.93298,                0.99282,                      1,                  0.995,                0.93507,                0.39394,                0.59153,                0.88136,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     99,                0.38919,                0.66067,                0.92795,                0.99321,                      1,                  0.995,                0.93463,                0.39503,                0.58814,                0.88133,              3.307e-05,              3.307e-05,              3.307e-05
                    100,                0.41793,                0.69051,                0.89697,                0.99379,                      1,                  0.995,                0.93435,                0.39697,                 0.5863,                0.88179,             2.4823e-05,             2.4823e-05,             2.4823e-05
